genotype,plot,row,col,block,rep,inoc,pheno,checkId,mean_NDVI,mean_OSAVI,median_NDVI,median_OSAVI
NA,219,9,9,5,2,I,Sev09,HimboTop,0.673797387633564,0.781601898904772,0.72913307701848,0.845790210260598
JS32,220,9,10,5,2,I,Sev09,noCheck,0.647588957768698,0.751199673738044,0.703072620524883,0.8155618230161
JT30,221,9,11,5,2,I,Sev09,noCheck,0.680976045667977,0.789928007976499,0.729498550246415,0.84621543570496
JG41,225,10,14,5,2,I,Sev09,noCheck,0.700488615882618,0.81256302205432,0.731735353421147,0.848810450757116
JT37,226,10,13,5,2,I,Sev09,noCheck,0.684799796269354,0.794364002705473,0.703244313361076,0.815760766802903
JT7,227,10,12,5,2,I,Sev09,noCheck,0.686617577135022,0.796472323021907,0.734031334739379,0.851471217407548
NA,228,10,11,5,2,I,Sev09,Salmon,0.668084474606904,0.774974012122112,0.756795606187381,0.877879889708816
JG14,229,10,10,5,2,I,Sev09,noCheck,0.324334811298139,0.376225491429115,0.357120232757373,0.414256211956474
JT24,231,10,8,5,2,I,Sev09,noCheck,0.316888865500919,0.367589767945913,0.487450224487487,0.565438831677796
JS36,233,11,9,5,2,I,Sev09,noCheck,0.678918520885695,0.787542426700544,0.733433866979958,0.850780898754251
JS11,234,11,10,5,2,I,Sev09,noCheck,0.643571740189738,0.746539502820089,0.699137171918303,0.810995320234889
JG43,237,11,13,5,2,I,Sev09,noCheck,0.66569897838522,0.772207317021996,0.707206162127047,0.820357117888747
JS20,238,11,14,5,2,I,Sev09,noCheck,0.668555624965213,0.77552108004052,0.725343169861523,0.841394006680744
JT9,240,12,13,5,2,I,Sev09,noCheck,0.606043484535511,0.703007355151628,0.70506565341786,0.817873136117843
JG29,242,12,11,5,2,I,Sev09,noCheck,0.729086801718596,0.845736650940004,0.771801986956581,0.895287405829299
JS25,243,12,10,5,2,I,Sev09,noCheck,0.456643408441471,0.529703455749508,0.497919305228876,0.57758472202722
JT40,245,12,8,5,2,I,Sev09,noCheck,0.463146706288774,0.537247749606544,0.593259167242601,0.688177188764297
JS23,247,13,9,5,2,I,Sev09,noCheck,0.62780412432894,0.728249311348287,0.68544196680424,0.795108904141315
JG3,249,13,11,5,2,I,Sev09,noCheck,0.664861793517195,0.771236139993802,0.710137812532875,0.823757551614681
JG3,250,13,12,5,2,I,Sev09,noCheck,0.596893357814796,0.692393193933502,0.681163615312251,0.790140645306951
JS3,251,13,13,5,2,I,Sev09,noCheck,0.670339973363292,0.77759092594826,0.724711764987544,0.840662359002177
JG24,253,14,14,5,2,I,Sev09,noCheck,0.58478324836794,0.678345288312394,0.678256015636039,0.78677234583399
JG27,254,14,13,5,2,I,Sev09,noCheck,0.651762873979241,0.756041095565715,0.723313710931767,0.839039195184512
JG38,255,14,12,5,2,I,Sev09,noCheck,0.631827808893342,0.732917217598552,0.703101886620696,0.815595218697003
JS4,257,14,10,5,2,I,Sev09,noCheck,0.652558645949449,0.756964622031702,0.704422637718791,0.817126844606601
JS30,258,14,9,5,2,I,Sev09,noCheck,0.56924127467985,0.660317096221864,0.674746704434034,0.782702766302358
JT39,261,15,9,5,2,I,Sev09,noCheck,0.633841920303585,0.735253757195279,0.679773713244626,0.788534812767579
JG40,263,15,11,5,2,I,Sev09,noCheck,0.645143524525298,0.748363049859576,0.685606823829673,0.7952996424225
JG26,264,15,12,5,2,I,Sev09,noCheck,0.71962256209464,0.834758558362265,0.749019912932981,0.868860738808743
JG1,267,16,14,6,2,I,Sev09,noCheck,0.590218411410267,0.684649973618947,0.686981681846894,0.796896152915124
JS24,269,16,12,6,2,I,Sev09,noCheck,0.723941984393937,0.839768514674751,0.767905723863787,0.890767704411363
JS31,271,16,10,6,2,I,Sev09,noCheck,0.629905703743681,0.730687346353558,0.694109772423025,0.805161946707184
JG37,272,16,9,6,2,I,Sev09,noCheck,0.639699807385684,0.742048806435745,0.700095235346743,0.812106723122689
JS3,274,17,8,6,2,I,Sev09,noCheck,0.29497751322882,0.342172611357422,0.358462059260347,0.415813173446369
JS10,276,17,10,6,2,I,Sev09,noCheck,0.646590367293155,0.750041125516347,0.724836852207294,0.840805584303513
JT35,280,17,14,6,2,I,Sev09,noCheck,0.646364196060305,0.749778888432885,0.706179410347212,0.819165369602516
JG36,281,18,14,6,2,I,Sev09,noCheck,0.646359605785072,0.749774103968946,0.702250647970315,0.814608321293863
JS38,283,18,12,6,2,I,Sev09,noCheck,0.65891124676712,0.764333552766724,0.707752948381727,0.820991357298055
NA,284,18,11,6,2,I,Sev09,Heritage,0.701663050461883,0.813925323487009,0.755128647693829,0.875946819185122
JS8,285,18,10,6,2,I,Sev09,noCheck,0.583111841499061,0.676406343161633,0.652553843231306,0.756959582230353
JG16,288,19,8,6,2,I,Sev09,noCheck,0.198360504900015,0.230097397905973,-0.078029231494578,-0.090513339535819
JS27,289,19,9,6,2,I,Sev09,noCheck,0.614833020531786,0.71320237333481,0.672440963829359,0.780026961565116
